,Unnamed: 0,host_since,host_response_rate,host_is_superhost,host_total_listings_count,host_identity_verified,longitude,room_type,bathrooms,bedrooms,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,availability_30,availability_90,calendar_last_scraped,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
3384,3384,2023-09-19,80%,f,1,t,18.03955,Entire home/apt,1.0,1.0,$971.00,50,4,50,25,28,2024-12-30,3,2024-07-21,4.67,4.67,5.0,4.33,f,1,0
3385,3385,2016-12-21,,f,1,t,18.029318153858185,Entire home/apt,1.0,0.0,"$1,200.00",40,15,40,13,44,2024-12-30,1,2023-10-04,5.0,4.5,5.0,5.0,f,1,0
3386,3386,2016-05-06,,f,2,t,18.0391293354905,Entire home/apt,1.0,1.0,"$1,343.00",14,2,14,27,37,2024-12-30,3,2024-03-09,5.0,5.0,5.0,5.0,f,1,0
3387,3387,2022-02-17,,f,6,t,17.920190322999588,Entire home/apt,1.5,1.0,"$1,138.00",365,1,365,27,87,2024-12-30,2,2024-05-19,4.0,5.0,4.0,4.5,t,6,0
3388,3388,2022-11-06,,f,1,t,18.0447239,Entire home/apt,,1.0,,365,3,365,0,0,2024-12-30,2,2023-09-30,5.0,5.0,5.0,5.0,f,1,0
3389,3389,2017-04-23,100%,f,2,t,17.9130753,Entire home/apt,1.0,1.0,$800.00,14,1,14,28,88,2024-12-30,0,2023-11-02,5.0,5.0,5.0,4.0,f,1,0
3390,3390,2022-02-22,60%,f,5,t,18.07419,Private room,1.0,1.0,"$2,240.00",365,1,365,29,35,2024-12-30,19,2023-10-01,4.4,4.64,4.2,4.44,t,0,0
3391,3391,2022-02-22,60%,f,5,t,18.074126158948665,Private room,1.0,2.0,"$3,826.00",365,1,365,27,33,2024-12-30,3,2023-10-08,4.6,4.4,4.0,4.6,t,0,0
3392,3392,2022-02-22,60%,f,5,t,18.07476004487646,Private room,1.0,1.0,"$1,633.00",365,1,365,29,35,2024-12-30,6,2024-07-12,4.17,4.83,4.5,4.5,t,0,0
3393,3393,2022-02-22,60%,f,5,t,18.07245417398812,Private room,1.0,1.0,"$1,633.00",365,1,365,29,35,2024-12-30,4,2024-05-20,4.0,4.25,3.5,4.0,t,0,0
3394,3394,2019-06-25,99%,f,110,t,17.94586,Entire home/apt,1.0,1.0,$633.00,90,3,365,0,0,2024-12-30,7,2023-11-20,4.3,4.1,4.8,3.9,f,69,0
3395,3395,2022-02-17,,f,6,t,17.920528955710026,Entire home/apt,1.0,1.0,$838.00,365,1,365,27,87,2024-12-30,1,2023-12-14,3.0,4.0,3.0,3.0,t,6,0
3396,3396,2022-02-17,,f,6,t,17.91905,Entire home/apt,1.5,1.0,"$1,138.00",365,1,365,27,87,2024-12-30,1,2024-05-18,1.0,1.0,1.0,1.0,t,6,0
3397,3397,2023-09-18,100%,t,1,t,18.042914271354675,Entire home/apt,1.0,2.0,"$1,914.00",1125,1,1125,24,82,2024-12-30,41,2023-10-07,4.83,4.94,4.83,4.63,f,1,0
3398,3398,2017-06-16,100%,f,120,t,17.998477228197007,Entire home/apt,1.0,0.0,$809.00,365,5,365,23,83,2024-12-30,46,2023-10-19,4.76,4.72,4.88,4.78,f,43,0
3399,3399,2018-01-14,33%,f,2,t,17.904654121382194,Entire home/apt,1.0,2.0,"$1,182.00",365,2,365,24,84,2024-12-30,0,2023-10-07,5.0,5.0,5.0,5.0,f,1,0
3400,3400,2022-07-08,,f,1,t,17.943253031784767,Entire home/apt,,4.0,,365,1,365,0,0,2024-12-30,1,2024-01-07,4.0,4.0,4.0,4.0,f,1,0
3401,3401,2020-01-25,100%,f,1,t,18.021407405409985,Entire home/apt,0.5,1.0,$957.00,30,2,30,13,71,2024-12-30,3,2024-08-08,4.67,5.0,5.0,4.67,f,1,0
3402,3402,2015-05-05,100%,f,2,t,18.1183976,Entire home/apt,2.0,4.0,"$2,600.00",14,2,14,25,76,2024-12-30,2,2024-05-19,5.0,5.0,5.0,5.0,f,1,0
3403,3403,2018-02-27,,f,1,t,17.98488,Entire home/apt,1.0,1.0,$700.00,365,14,365,0,59,2024-12-30,0,,,,,,f,1,0
3404,3404,2023-09-24,100%,f,1,f,18.078075,Entire home/apt,1.5,2.0,"$3,429.00",365,1,365,5,33,2024-12-30,8,2024-05-18,4.88,4.63,4.88,4.38,f,1,0
3405,3405,2014-02-27,,f,1,f,18.064271,Entire home/apt,,1.0,,45,25,45,0,0,2024-12-30,9,2023-11-19,5.0,4.5,4.92,4.92,f,1,0
3406,3406,2014-05-30,100%,f,2,t,18.06168,Entire home/apt,1.0,1.0,$993.00,10,2,10,20,43,2024-12-30,24,2024-02-04,5.0,4.96,5.0,5.0,f,1,0
3407,3407,2017-05-29,,f,2,f,18.134767216399645,Entire home/apt,1.0,1.0,"$2,500.00",365,3,365,0,0,2024-12-30,4,2024-05-21,4.5,4.75,5.0,4.0,f,1,0
3408,3408,2016-03-08,100%,f,3,t,18.02655,Entire home/apt,,1.0,,365,7,365,1,1,2024-12-30,0,,,,,,f,1,0
3409,3409,2017-06-16,100%,f,120,t,18.01867502082148,Entire home/apt,1.0,2.0,"$1,094.00",365,5,365,26,86,2024-12-30,36,2023-10-08,4.53,4.72,4.65,4.56,f,43,0
3410,3410,2014-04-17,,f,2,t,18.055931800880924,Entire home/apt,,3.0,,1125,4,1125,0,0,2024-12-30,4,2024-01-02,5.0,4.75,5.0,5.0,f,1,0
3411,3411,2020-08-25,100%,f,8,t,17.8466735,Entire home/apt,1.0,1.0,$570.00,1125,1,1125,11,46,2024-12-30,19,2023-10-18,4.62,4.71,4.9,4.81,t,6,0
3412,3412,2017-08-08,,t,1,t,18.090831466448314,Entire home/apt,,1.0,,7,1,7,0,0,2024-12-30,20,2023-10-07,5.0,4.92,5.0,4.9,f,1,0
3413,3413,2018-04-03,,f,2,t,17.913020303483968,Entire home/apt,,1.0,,42,7,1125,0,0,2024-12-30,0,,,,,,t,1,0
