,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
5052,5052,2024-12-30,2019-08-28,within a few hours,100%,,f,1,1,t,f,59.23735,18.09948,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$682.00,4,365,4,4,365,365,t,30,56,86,86,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
5053,5053,2024-12-30,2011-12-30,within an hour,100%,100%,f,2,2,t,f,59.35372201329886,17.911942635876763,Entire home,Entire home/apt,5,,1.5 baths,4.0,,,5,35,5,5,35,35,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,t,1,1,0,0
5054,5054,2024-12-30,2017-05-08,within an hour,100%,100%,f,2,2,t,f,59.3190161,18.0365516,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"$1,200.00",5,365,5,5,365,365,t,2,2,2,52,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
5055,5055,2024-12-30,2024-11-10,within an hour,75%,33%,f,1,1,f,t,59.34472,18.03189,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$600.00,60,90,60,60,90,90,t,0,0,0,244,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
5056,5056,2024-12-30,2017-04-03,within a few hours,100%,0%,f,1,1,t,f,59.24664289537752,18.18832312528424,Entire home,Entire home/apt,6,1.5,1.5 baths,3.0,3.0,"$1,700.00",5,31,5,5,31,31,t,0,4,34,288,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
5057,5057,2024-12-30,2023-11-09,within a few hours,100%,0%,f,3,3,t,t,59.34655219946711,18.03313875318558,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,2.0,2.0,"$2,890.00",7,365,7,7,365,365,t,30,60,90,365,2024-12-30,0,0,0,,,,,,,,,,,f,2,2,0,0
5059,5059,2024-12-30,2016-05-07,within a day,100%,50%,f,1,3,t,t,59.30752,18.07649,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,2,365,2,2,365,365,t,0,0,0,0,2024-12-30,1,1,1,2024-11-30,2024-11-30,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
5060,5060,2024-12-30,2019-06-25,within an hour,99%,91%,f,102,110,t,t,59.34611357681993,18.100022756029567,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$623.00,14,90,7,14,90,90,t,23,38,68,342,2024-12-30,0,0,0,,,,,,,,,,,f,69,69,0,0
5061,5061,2024-12-30,2021-10-02,within an hour,100%,100%,f,1,1,t,t,59.3369,18.02375,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$720.00,90,365,90,90,365,365,t,0,0,0,157,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
5062,5062,2024-12-30,2019-06-25,within an hour,99%,91%,f,102,110,t,t,59.34752261375533,18.09966518117396,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$508.00,14,90,14,14,90,90,t,0,14,44,283,2024-12-30,0,0,0,,,,,,,,,,,f,69,69,0,0
5063,5063,2024-12-30,2019-06-25,within an hour,99%,91%,f,102,110,t,t,59.34559443290488,18.10032419742443,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$447.00,14,90,7,14,90,90,t,0,0,29,288,2024-12-30,1,1,1,2024-12-04,2024-12-04,5.0,5.0,5.0,5.0,5.0,5.0,2.0,,f,69,69,0,0
5064,5064,2024-12-30,2018-10-25,within a few hours,100%,68%,f,2,2,t,t,59.30693,18.0296,Entire rental unit,Entire home/apt,2,2.0,2 baths,1.0,1.0,"$1,200.00",1,365,1,1,365,365,t,0,0,0,177,2024-12-30,0,0,0,,,,,,,,,,,f,2,1,1,0
5065,5065,2024-12-30,2024-03-27,within an hour,91%,96%,f,3,4,f,t,59.30985828864332,18.003578585124895,Entire home,Entire home/apt,9,,1 bath,3.0,,,1,365,1,1,365,365,t,30,58,88,168,2024-12-30,1,1,1,2024-12-07,2024-12-07,3.0,4.0,3.0,3.0,3.0,5.0,3.0,,t,3,3,0,0
5067,5067,2024-12-30,2019-06-25,within an hour,99%,91%,f,102,110,t,t,59.34638,18.09975,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$852.00,14,90,7,14,90,90,t,0,26,56,330,2024-12-30,0,0,0,,,,,,,,,,,f,69,69,0,0
5068,5068,2024-12-30,2011-08-30,within an hour,90%,85%,f,4,5,t,t,59.301126686185455,18.015902944947,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,$714.00,3,15,3,3,15,15,t,3,3,3,3,2024-12-30,0,0,0,,,,,,,,,,,f,4,1,3,0
5069,5069,2024-12-30,2015-05-30,within a day,78%,29%,f,1,2,t,f,59.33324,18.03551,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,3.0,"$2,000.00",5,365,5,5,365,365,t,8,37,67,244,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
5070,5070,2024-12-30,2017-05-30,within a day,50%,100%,f,1,1,t,f,59.353690428086864,17.88149238392632,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$800.00,1,180,1,1,180,180,,9,39,69,71,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
