,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
4711,4711,2024-12-30,2024-07-19,a few days or more,30%,42%,f,1,1,t,t,59.30045146018873,18.046756176551387,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"$1,000.00",1,365,1,1,365,365,t,7,7,7,208,2024-12-30,3,3,0,2024-08-18,2024-09-03,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
4715,4715,2024-12-30,2024-07-20,,,50%,f,1,1,t,t,59.29889965328224,18.056937530636787,Private room in rental unit,Private room,1,1.0,1 private bath,1.0,1.0,$390.00,5,35,5,5,35,35,t,29,59,89,89,2024-12-30,2,2,0,2024-08-22,2024-09-03,4.5,4.5,4.5,5.0,5.0,5.0,4.5,,f,1,0,1,0
4716,4716,2024-12-30,2024-05-28,a few days or more,40%,53%,f,1,1,t,t,59.28600340000001,18.0947343,Entire rental unit,Entire home/apt,4,1.0,1 bath,3.0,3.0,"$1,750.00",2,14,1,2,14,14,t,13,24,41,167,2024-12-30,5,5,1,2024-07-23,2024-12-17,5.0,5.0,5.0,4.6,4.8,4.8,5.0,,f,1,1,0,0
4717,4717,2024-12-30,2024-07-20,within a day,80%,35%,f,1,1,t,t,59.30081,18.02849,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,3.0,$900.00,2,365,1,2,365,365,t,4,32,60,191,2024-12-30,9,9,0,2024-07-28,2024-11-24,4.67,4.67,4.33,5.0,4.89,4.44,4.67,,f,1,1,0,0
4719,4719,2024-12-30,2024-10-12,,,,f,1,1,t,t,59.34723,18.09802,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$2,000.00",2,1125,2,2,1125,1125,t,24,54,84,330,2024-12-30,2,2,0,2024-09-03,2024-09-05,5.0,4.5,5.0,5.0,5.0,5.0,4.5,,f,1,1,0,0
4721,4721,2024-12-30,2023-12-07,within an hour,97%,99%,f,23,24,t,t,59.34430933925922,18.056190265675905,Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,3.0,"$3,000.00",3,365,3,3,365,365,t,15,33,50,155,2024-12-30,6,6,2,2024-09-01,2024-12-17,4.67,4.5,4.5,4.33,4.67,4.67,4.5,,t,23,23,0,0
4723,4723,2024-12-30,2021-12-13,,,46%,f,1,1,t,t,59.36133784901276,17.831262278514888,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$960.00,1,365,1,1,365,365,t,30,60,90,365,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
4724,4724,2024-12-30,2024-07-22,,,56%,f,1,1,f,t,59.338860860526616,18.04887768692505,Private room in rental unit,Private room,1,2.0,2 baths,1.0,1.0,$679.00,2,365,2,2,365,365,t,1,1,30,305,2024-12-30,4,4,0,2024-08-06,2024-08-31,4.5,4.5,4.0,4.5,4.75,4.75,3.75,,f,1,0,1,0
4730,4730,2024-12-30,2024-07-12,within a day,100%,75%,f,2,2,f,t,59.331839076295694,17.97139405752105,Entire home,Entire home/apt,8,,3 baths,5.0,,,10,365,10,10,365,365,t,4,4,4,4,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
4733,4733,2024-12-30,2024-01-19,,,,f,1,1,t,t,59.25179499999999,18.0815754,Private room in rental unit,Private room,1,0.0,0 shared baths,0.0,1.0,$400.00,1,3,1,1,3,3,,30,60,90,90,2024-12-30,0,0,0,,,,,,,,,,,f,1,0,1,0
4734,4734,2024-12-30,2024-07-26,within a day,60%,73%,f,1,1,t,t,59.32262,18.06799,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,2.0,"$1,300.00",2,7,2,2,7,7,t,22,52,80,319,2024-12-30,13,13,1,2024-08-21,2024-12-15,4.54,4.54,4.62,5.0,4.77,5.0,4.77,,f,1,1,0,0
4740,4740,2024-12-30,2020-07-08,within a few hours,100%,100%,f,1,1,t,t,59.34703202685225,18.049482464216336,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"$1,750.00",2,7,2,2,7,7,t,26,56,86,86,2024-12-30,2,2,0,2024-08-25,2024-09-05,5.0,5.0,5.0,5.0,5.0,4.5,4.5,,f,1,1,0,0
4748,4748,2024-12-30,2023-12-07,within an hour,97%,99%,f,23,24,t,t,59.33087951369386,18.047238976096025,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$1,300.00",3,365,3,3,365,365,t,10,17,27,270,2024-12-30,4,4,1,2024-08-09,2024-12-16,4.5,5.0,5.0,4.75,5.0,5.0,4.75,,t,23,23,0,0
4752,4752,2024-12-30,2024-01-24,within an hour,100%,100%,f,8,9,t,t,59.3419513,18.11164,Room in hotel,Private room,4,,1 bath,1.0,,,1,365,1,1,14,14,t,23,53,81,325,2024-12-30,2,2,0,2024-09-11,2024-09-28,4.5,4.5,5.0,4.0,5.0,4.5,4.5,,t,8,0,5,3
4756,4756,2024-12-30,2021-06-16,,,,f,1,1,f,f,59.32508773558691,17.937134898957574,Private room in bed and breakfast,Private room,2,1.0,1 bath,1.0,1.0,"$1,300.00",2,7,2,2,7,7,t,0,0,29,119,2024-12-30,0,0,0,,,,,,,,,,,f,1,0,1,0
4761,4761,2024-12-30,2024-08-07,,,,f,1,1,f,t,59.40950635565648,17.91827456916364,Entire home,Entire home/apt,4,1.0,1 bath,1.0,1.0,"$4,500.00",1,365,1,1,365,365,t,30,60,90,365,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
4764,4764,2024-12-30,2024-08-08,within a day,100%,33%,f,1,1,t,f,59.31698804836685,18.030477851513663,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"$1,700.00",1,365,1,1,365,365,t,28,58,88,363,2024-12-30,1,1,0,2024-10-26,2024-10-26,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
4765,4765,2024-12-30,2022-07-18,within a few hours,100%,0%,f,1,1,t,t,59.35142440962928,17.88711851159358,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$640.00,1,1125,1,1,1125,1125,t,27,57,87,177,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
4767,4767,2024-12-30,2024-07-16,within an hour,100%,95%,f,4,4,t,t,59.3233565,18.0715596,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,"$1,058.00",2,365,2,2,365,365,t,20,43,64,201,2024-12-30,21,21,1,2024-08-17,2024-12-16,4.57,4.19,4.29,4.52,4.86,4.81,4.48,,f,4,4,0,0
4768,4768,2024-12-30,2024-08-11,within an hour,100%,97%,f,1,1,t,t,59.31040140977903,18.074493929743767,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,$600.00,1,365,1,1,365,365,t,27,55,83,352,2024-12-30,16,16,1,2024-09-03,2024-12-08,4.38,4.56,3.88,4.69,4.88,4.88,4.44,,f,1,0,1,0
4769,4769,2024-12-30,2024-05-04,within an hour,100%,84%,f,2,2,t,t,59.31733442318697,18.054499353861008,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"$1,600.00",1,30,1,1,30,30,t,29,59,89,364,2024-12-30,1,1,0,2024-08-25,2024-08-25,5.0,4.0,4.0,4.0,5.0,4.0,3.0,,f,2,1,1,0
4770,4770,2024-12-30,2024-05-04,within an hour,100%,84%,f,2,2,t,t,59.31674,18.05255,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,0.0,$950.00,1,365,1,1,365,365,t,29,59,89,364,2024-12-30,10,10,0,2024-08-30,2024-11-17,4.9,4.5,4.8,4.9,5.0,4.8,4.6,,f,2,1,1,0
4772,4772,2024-12-30,2023-09-06,within an hour,100%,98%,t,41,46,t,t,59.32900039999999,18.0360578,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$1,461.00",3,100,1,3,1125,1125,t,23,53,83,358,2024-12-30,16,16,4,2024-08-19,2024-12-22,4.81,4.81,4.94,4.88,5.0,4.75,4.75,,f,39,39,0,0
4774,4774,2024-12-30,2024-03-27,within an hour,91%,96%,f,3,4,f,t,59.30588853280823,17.99958437020561,Entire home,Entire home/apt,8,1.5,1.5 baths,3.0,8.0,"$2,184.00",1,365,1,1,365,365,t,25,54,77,144,2024-12-30,9,9,1,2024-08-29,2024-12-01,4.44,4.56,4.67,4.78,4.22,5.0,4.67,,t,3,3,0,0
4775,4775,2024-12-30,2023-09-06,within an hour,100%,98%,t,41,46,t,t,59.3472488,18.051788,Entire rental unit,Entire home/apt,4,,1 bath,1.0,,,2,202,1,3,1125,1125,t,24,54,84,359,2024-12-30,9,9,1,2024-08-20,2024-12-20,4.89,5.0,4.89,4.89,5.0,4.89,4.89,,f,39,39,0,0
4777,4777,2024-12-30,2024-08-14,within an hour,100%,97%,f,1,1,t,t,59.31841189999999,18.0705754,Entire rental unit,Entire home/apt,2,,1 bath,,,,1,10,1,1,1125,1125,t,0,0,0,0,2024-12-30,16,16,3,2024-08-26,2024-12-15,4.88,4.88,4.88,4.88,4.88,4.94,4.75,,f,1,1,0,0
4778,4778,2024-12-30,2024-08-15,within a few hours,100%,33%,f,1,1,t,t,59.31192,18.05165,Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,5.0,"$2,562.00",5,30,5,5,30,30,t,1,1,1,18,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
4779,4779,2024-12-30,2021-05-11,within an hour,100%,43%,f,1,1,t,f,59.32448179999999,18.0049521,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,3,365,3,3,365,365,t,0,0,0,0,2024-12-30,3,3,0,2024-08-27,2024-09-14,4.0,4.33,4.33,4.0,3.67,4.33,4.0,,f,1,1,0,0
4781,4781,2024-12-30,2021-07-09,within an hour,100%,100%,f,1,3,t,t,59.34245528876957,18.065898642691703,Entire rental unit,Entire home/apt,5,1.0,1 bath,3.0,3.0,"$5,500.00",1,365,1,1,365,365,t,29,59,89,364,2024-12-30,1,1,0,2024-09-01,2024-09-01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
4782,4782,2024-12-30,2024-08-16,within an hour,100%,89%,f,1,2,t,t,59.2685717,17.9868318,Entire home,Entire home/apt,4,1.0,1 bath,1.0,2.0,$705.00,1,365,1,1,365,365,t,23,35,48,57,2024-12-30,15,15,2,2024-08-24,2024-12-09,4.8,4.93,5.0,5.0,4.93,4.67,4.87,,f,1,1,0,0
4783,4783,2024-12-30,2023-06-12,within an hour,100%,70%,f,2,2,t,t,59.36476765012792,17.949696385032727,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,$462.00,2,365,2,2,365,365,t,25,55,85,85,2024-12-30,0,0,0,,,,,,,,,,,f,2,1,1,0
4791,4791,2024-12-30,2021-02-03,within an hour,100%,95%,f,2,3,t,t,59.33206334022837,18.015035096295183,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,2.0,"$2,256.00",2,100,1,2,100,100,t,8,30,47,178,2024-12-30,8,8,3,2024-09-15,2024-12-15,4.88,4.88,4.5,5.0,5.0,4.88,4.75,,t,1,1,0,0
4795,4795,2024-12-30,2023-07-28,,,100%,f,1,1,f,t,59.4120581,17.9390809,Private room in townhouse,Private room,1,1.0,1 bath,1.0,1.0,$543.00,1,1125,1,1,1125,1125,t,30,60,90,90,2024-12-30,1,1,0,2024-08-29,2024-08-29,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,1,0,1,0
4796,4796,2024-12-30,2023-12-07,within an hour,97%,99%,f,23,24,t,t,59.34226,18.0562,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$1,169.00",3,365,3,3,365,365,t,12,21,42,289,2024-12-30,0,0,0,,,,,,,,,,,t,23,23,0,0
4797,4797,2024-12-30,2023-12-07,within an hour,97%,99%,f,23,24,t,t,59.33057,18.04539,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$1,700.00",3,365,3,3,365,365,t,23,48,73,348,2024-12-30,5,5,0,2024-08-26,2024-11-04,4.4,4.6,4.4,4.6,4.6,4.8,4.0,,t,23,23,0,0
4799,4799,2024-12-30,2022-03-19,within a day,50%,67%,f,1,2,t,t,59.3345484,18.0343979,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,$950.00,3,365,1,3,365,365,t,0,27,54,329,2024-12-30,3,3,0,2024-09-01,2024-09-29,5.0,4.67,5.0,5.0,5.0,4.67,5.0,,f,1,0,1,0
4804,4804,2024-12-30,2024-08-22,within an hour,80%,43%,f,1,1,t,t,59.27368,18.02406,Entire rental unit,Entire home/apt,4,1.0,1 bath,3.0,3.0,"$1,039.00",1,365,1,1,365,365,t,14,30,46,269,2024-12-30,2,2,0,2024-09-27,2024-10-23,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
4805,4805,2024-12-30,2022-10-28,within a few hours,100%,82%,f,1,1,t,f,59.3125381,18.075725,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,5,10,5,10,10,10,t,0,4,10,10,2024-12-30,7,7,1,2024-10-06,2024-12-08,5.0,4.86,4.86,5.0,5.0,5.0,5.0,,f,1,1,0,0
4808,4808,2024-12-30,2023-07-03,,,100%,f,3,3,t,t,59.26939,18.08715,Entire rental unit,Entire home/apt,9,,1.5 baths,2.0,,,1,365,1,1,365,365,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,t,3,2,1,0
