,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
1481,1481,2024-12-30,2013-01-02,within a few hours,100%,54%,t,2,3,t,t,59.30675,18.00824,Entire townhouse,Entire home/apt,5,2.5,2.5 baths,3.0,4.0,"$1,857.00",7,14,4,7,14,14,t,0,2,5,22,2024-12-30,8,4,0,2023-06-26,2024-08-11,5.0,5.0,4.75,5.0,5.0,4.88,4.88,,f,1,1,0,0
1483,1483,2024-12-30,2011-08-27,within an hour,100%,98%,t,18,20,t,t,59.3127272957788,18.07799388090489,Entire rental unit,Entire home/apt,9,1.0,1 bath,3.0,7.0,"$2,439.00",1,360,1,3,1125,1125,t,24,52,82,344,2024-12-30,225,67,3,2020-03-01,2024-12-22,4.9,4.92,4.91,4.92,4.94,4.97,4.72,,f,18,18,0,0
1484,1484,2024-12-30,2013-08-12,within an hour,100%,99%,t,20,20,t,t,59.33255,18.02371,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,$613.00,2,31,1,2,14,1125,t,9,34,62,337,2024-12-30,292,74,3,2019-12-28,2024-12-21,4.76,4.82,4.73,4.91,4.79,4.75,4.71,,f,20,20,0,0
1487,1487,2024-12-30,2019-08-23,within an hour,100%,84%,t,8,33,t,t,59.399,17.95369,Room in aparthotel,Entire home/apt,2,1.0,1 bath,1.0,1.0,$567.00,60,180,60,60,180,180,t,29,59,89,89,2024-12-30,20,3,0,2020-02-21,2024-08-28,4.8,4.65,4.45,4.95,4.75,4.4,4.5,,f,8,8,0,0
1494,1494,2024-12-30,2019-08-29,within an hour,100%,97%,t,1,1,t,t,59.26621,17.9797,Entire guest suite,Entire home/apt,2,,1 bath,,,,2,14,2,2,1125,1125,t,25,49,76,151,2024-12-30,87,18,1,2020-01-15,2024-12-07,4.99,4.94,4.95,4.93,4.93,4.86,4.89,,t,1,1,0,0
1498,1498,2024-12-30,2013-08-12,within an hour,100%,99%,t,20,20,t,t,59.33442,18.02443,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$580.00,1,31,1,2,14,1125,t,4,12,27,276,2024-12-30,282,92,4,2020-01-12,2024-12-19,4.74,4.9,4.78,4.9,4.82,4.76,4.74,,f,20,20,0,0
1499,1499,2024-12-30,2013-08-12,within an hour,100%,99%,t,20,20,t,t,59.33257,18.02428,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$629.00,2,31,1,2,14,1125,t,7,21,38,262,2024-12-30,304,79,6,2019-12-23,2024-12-16,4.76,4.82,4.73,4.9,4.86,4.77,4.73,,f,20,20,0,0
1500,1500,2024-12-30,2013-08-12,within an hour,100%,99%,t,20,20,t,t,59.33314,18.02358,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,$671.00,2,31,1,2,14,1125,t,3,15,34,278,2024-12-30,231,78,6,2019-12-27,2024-12-23,4.83,4.89,4.81,4.85,4.85,4.79,4.74,,f,20,20,0,0
1502,1502,2024-12-30,2015-09-07,within an hour,100%,90%,t,5,7,t,t,59.27266,17.98456,Private room in rental unit,Private room,1,2.0,2 shared baths,1.0,1.0,$310.00,28,1125,28,28,1125,1125,t,0,26,56,56,2024-12-30,17,4,0,2020-09-01,2024-09-01,4.88,5.0,4.82,5.0,5.0,4.82,5.0,,f,4,1,3,0
1503,1503,2024-12-30,2015-09-07,within an hour,100%,90%,t,5,7,t,t,59.27307,17.98429,Private room in rental unit,Private room,1,2.0,2 shared baths,1.0,1.0,$296.00,14,1125,12,14,1125,1125,t,12,12,12,180,2024-12-30,9,2,1,2020-04-01,2024-12-20,4.67,4.89,4.33,5.0,5.0,4.78,4.89,,f,4,1,3,0
1506,1506,2024-12-30,2016-07-05,within an hour,100%,100%,t,3,3,t,t,59.31874,18.05871,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"$1,269.00",3,30,1,3,30,30,t,11,38,62,62,2024-12-30,236,57,4,2020-01-26,2024-12-15,4.89,4.9,4.89,4.92,4.88,4.95,4.8,,f,3,3,0,0
1508,1508,2024-12-30,2013-04-10,within a few hours,100%,89%,t,2,3,t,t,59.31979,18.05931,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,$990.00,4,10,4,4,10,10,t,12,28,38,116,2024-12-30,66,28,2,2020-01-20,2024-12-16,4.89,4.88,4.52,4.95,4.95,4.95,4.8,,f,2,1,1,0
1519,1519,2024-12-30,2015-07-11,,,43%,t,1,1,t,t,59.34949,18.03751,Entire rental unit,Entire home/apt,2,,1.5 baths,1.0,,,3,8,3,3,8,8,t,0,0,0,0,2024-12-30,15,6,0,2020-02-21,2024-08-29,5.0,4.87,4.87,5.0,5.0,4.73,4.93,,f,1,1,0,0
1523,1523,2024-12-30,2019-08-23,within an hour,100%,84%,t,8,33,t,t,59.39902,17.95205,Room in aparthotel,Entire home/apt,4,1.0,1 bath,1.0,1.0,"$1,300.00",7,1125,7,7,1125,1125,t,29,59,89,89,2024-12-30,17,1,0,2020-02-10,2024-01-03,4.76,4.65,4.94,4.94,4.76,4.71,4.82,,f,8,8,0,0
1524,1524,2024-12-30,2019-08-23,within an hour,100%,84%,t,8,33,t,t,59.40055,17.95176,Room in aparthotel,Entire home/apt,2,1.0,1 bath,1.0,1.0,$850.00,7,1125,7,7,1125,1125,t,29,59,89,179,2024-12-30,14,1,0,2020-02-08,2024-08-31,4.86,4.71,4.86,4.86,5.0,4.79,4.79,,f,8,8,0,0
1525,1525,2024-12-30,2019-08-23,within an hour,100%,84%,t,8,33,t,t,59.3992,17.95358,Room in aparthotel,Entire home/apt,2,1.0,1 bath,1.0,1.0,$850.00,7,1125,7,7,1125,1125,t,29,59,89,179,2024-12-30,14,1,0,2020-05-01,2024-04-12,4.86,4.86,5.0,4.93,5.0,4.21,4.5,,f,8,8,0,0
