,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
1964,1964,2024-12-30,2018-06-30,,,,f,1,2,t,t,59.387693264232105,17.910647802919126,Entire townhouse,Entire home/apt,8,2.0,2 baths,3.0,7.0,"$2,429.00",5,365,2,8,365,365,t,0,15,29,165,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
1966,1966,2024-12-30,2021-10-26,,,,f,1,1,t,f,59.376399731931706,17.917965541433546,Entire villa,Entire home/apt,2,,1 bath,,,,1,3,1,1,1125,1125,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
1967,1967,2024-12-30,2019-04-22,within a day,100.0,33%,f,1,1,t,t,59.31363,18.08105,Entire condo,Entire home/apt,5,1.5,1.5 baths,1.0,3.0,"$2,000.00",2,10,1,2,10,10,t,27,57,87,87,2024-12-30,23,4,0,2021-11-29,2024-07-27,4.83,4.87,4.65,4.96,4.96,4.78,4.78,,f,1,1,0,0
1968,1968,2024-12-30,2015-07-20,,,,f,1,1,t,t,59.30487001447112,18.10049089306978,Entire condo,Entire home/apt,4,2.0,2 baths,3.0,4.0,"$1,928.00",60,150,60,60,150,150,,27,57,87,87,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
1970,1970,2024-12-30,2021-07-17,,,,f,1,1,t,f,59.30235,18.09873,Entire rental unit,Entire home/apt,6,,1 bath,1.0,,,2,7,2,2,7,7,t,0,0,0,0,2024-12-30,2,0,0,2021-11-07,2021-12-26,4.5,4.5,4.0,5.0,5.0,5.0,4.5,,f,1,1,0,0
1973,1973,2024-12-30,2015-07-30,,,38%,f,2,2,t,t,59.31019,18.08031,Entire condo,Entire home/apt,3,,1 bath,1.0,,,2,365,2,2,365,365,t,0,0,0,0,2024-12-30,8,0,0,2021-11-21,2023-01-02,4.75,4.63,4.0,4.75,4.63,4.75,4.63,,f,2,2,0,0
1974,1974,2024-12-30,2016-04-09,,,,f,1,1,t,t,59.28986,18.10044,Entire rental unit,Entire home/apt,6,,1 bath,2.0,,,2,30,2,2,1125,1125,t,0,0,0,0,2024-12-30,8,0,0,2021-12-25,2023-04-21,5.0,4.88,5.0,4.88,5.0,4.88,4.88,,f,1,1,0,0
1975,1975,2024-12-30,2021-04-16,,,,f,1,1,t,t,59.3015640195415,17.95143045101179,Entire home,Entire home/apt,8,,2.5 baths,5.0,,,5,28,5,5,28,28,t,0,0,0,0,2024-12-30,1,0,0,2023-07-23,2023-07-23,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
1976,1976,2024-12-30,2021-08-18,,,,f,3,3,t,t,59.33514,17.97791,Room in aparthotel,Entire home/apt,1,,1 bath,,,,1,365,1,1,365,365,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,t,3,2,1,0
1977,1977,2024-12-30,2021-08-18,,,,f,3,3,t,t,59.33551,17.97915,Room in aparthotel,Entire home/apt,4,,1 bath,1.0,,,1,365,1,1,365,365,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,t,3,2,1,0
1978,1978,2024-12-30,2021-08-18,,,,f,4,4,t,f,59.40731,17.95301,Room in aparthotel,Entire home/apt,2,,1 bath,1.0,,,1,365,1,1,365,365,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,t,4,4,0,0
