,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
3449,3449,2024-12-30,2023-10-10,within an hour,100.0,87%,f,2,2,t,t,59.33921,18.09205,Private room in loft,Private room,1,2.0,2 baths,1.0,1.0,1349.0,4,365,4,4,365,365,t,29,59,89,269,2024-12-30,12,11,0,2023-11-21,2024-10-23,4.5,4.25,4.25,4.58,4.92,4.67,4.42,,f,2,0,2,0
3451,3451,2024-12-30,2017-06-16,within an hour,100.0,88%,f,84,120,t,t,59.27346915930905,18.01812287685568,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,1183.0,1,365,2,5,365,365,t,27,49,79,190,2024-12-30,52,47,2,2023-10-23,2024-12-24,4.67,4.69,4.88,4.69,4.63,4.52,4.77,,f,43,43,0,0
3452,3452,2024-12-30,2020-12-09,within an hour,100.0,100%,f,10,11,t,t,59.31509510000001,18.0630044,Private room in rental unit,Private room,2,3.0,3 baths,1.0,1.0,1456.0,1,14,1,1,14,14,t,23,46,66,302,2024-12-30,0,0,0,,,,,,,,,,,t,10,4,6,0
3453,3453,2024-12-30,2023-10-10,within an hour,100.0,87%,f,2,2,t,t,59.339166470753966,18.09251950630151,Private room in rental unit,Private room,1,2.0,2 baths,1.0,0.0,800.0,4,365,4,4,365,365,t,29,59,89,269,2024-12-30,3,3,0,2024-05-18,2024-07-05,5.0,4.33,4.0,5.0,5.0,5.0,3.0,,f,2,0,2,0
3456,3456,2024-12-30,2015-12-10,within an hour,97.0,89%,f,24,49,t,t,59.33086,18.00005,Entire rental unit,Entire home/apt,8,1.5,1.5 baths,3.0,4.0,1741.0,1,365,2,5,365,365,t,0,0,0,78,2024-12-30,55,52,4,2023-11-20,2024-12-23,4.51,4.58,4.62,4.87,4.64,4.65,4.53,,f,20,20,0,0
3457,3457,2024-12-30,2014-06-11,within an hour,100.0,88%,f,46,55,t,t,59.33906,18.03006,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,956.0,1,365,2,5,365,365,t,13,33,63,174,2024-12-30,56,48,4,2023-10-20,2024-12-15,4.52,4.64,4.86,4.68,4.71,4.86,4.45,,f,37,37,0,0
3465,3465,2024-12-30,2023-07-12,within a few hours,100.0,63%,f,2,2,f,t,59.32621547120945,17.965523772603362,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,5.0,900.0,5,31,5,5,31,31,t,18,48,78,78,2024-12-30,5,5,0,2024-07-14,2024-08-30,5.0,5.0,5.0,4.8,5.0,5.0,5.0,,f,1,1,0,0
3470,3470,2024-12-30,2019-07-08,within an hour,96.0,94%,f,30,58,t,t,59.27645951979452,18.030642800454068,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,637.0,30,182,30,30,160,182,t,0,0,20,199,2024-12-30,0,0,0,,,,,,,,,,,t,11,11,0,0
3471,3471,2024-12-30,2023-10-17,within an hour,100.0,78%,f,1,1,t,t,59.3147494,18.0866825,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,1145.0,2,365,2,2,365,365,t,27,30,30,49,2024-12-30,33,29,3,2023-11-13,2024-12-16,4.94,4.91,5.0,5.0,4.97,4.91,4.88,,f,1,1,0,0
3475,3475,2024-12-30,2022-03-03,within an hour,95.0,100%,f,9,10,t,t,59.32080953678116,17.996529177916187,Entire rental unit,Entire home/apt,8,1.5,1.5 baths,3.0,3.0,2415.0,1,365,1,1,365,365,t,27,54,76,332,2024-12-30,11,8,0,2023-11-19,2024-11-25,3.91,3.91,4.27,4.73,4.36,4.18,3.64,,t,8,8,0,0
