,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
2897,2897,2024-12-30,2019-06-07,within an hour,100.0,80%,t,1,2,t,t,59.32153521247849,17.964209406993984,Entire home,Entire home/apt,7,2.5,2.5 baths,4.0,5.0,3500.0,4,7,4,4,1125,1125,t,0,0,0,44,2024-12-30,19,9,0,2023-06-30,2024-08-19,5.0,5.0,4.84,4.95,5.0,4.94,4.95,,f,1,1,0,0
2910,2910,2024-12-30,2022-04-30,,,100%,f,1,1,t,t,59.29461620000001,17.9471113,Entire home,Entire home/apt,6,,1.5 baths,3.0,,,5,730,5,5,730,730,t,0,0,0,0,2024-12-30,5,3,0,2023-06-09,2024-08-10,5.0,4.8,4.4,4.8,5.0,4.6,4.4,,f,1,1,0,0
2916,2916,2024-12-30,2021-12-26,within a day,100.0,39%,f,1,1,t,t,59.346185996143824,18.109508467531505,Entire rental unit,Entire home/apt,8,2.5,2.5 baths,4.0,7.0,4300.0,3,14,2,3,14,14,t,12,28,46,269,2024-12-30,10,8,0,2023-08-20,2024-11-18,5.0,4.9,5.0,4.9,5.0,4.9,5.0,,f,1,1,0,0
2918,2918,2024-12-30,2016-09-03,within a few hours,100.0,50%,f,1,1,t,t,59.34015190659367,17.905707752465013,Entire home,Entire home/apt,5,1.0,1 bath,3.0,5.0,2996.0,5,14,5,5,14,14,t,30,60,90,365,2024-12-30,1,1,0,2024-05-22,2024-05-22,5.0,5.0,4.0,5.0,5.0,5.0,4.0,,t,1,1,0,0
2923,2923,2024-12-30,2018-04-21,within an hour,100.0,96%,t,2,2,t,t,59.3319,17.91686,Entire home,Entire home/apt,5,1.0,1 bath,3.0,3.0,2500.0,5,31,5,5,31,31,t,0,6,8,15,2024-12-30,6,3,0,2023-07-18,2024-08-11,5.0,5.0,5.0,5.0,5.0,4.83,4.83,,f,1,1,0,0
2925,2925,2024-12-30,2017-01-01,within a day,100.0,67%,f,1,1,t,t,59.30024110062007,18.051805889599525,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,3.0,1700.0,5,21,5,5,21,21,t,5,5,5,5,2024-12-30,2,1,0,2023-08-06,2024-09-23,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
2927,2927,2024-12-30,2019-07-23,within an hour,100.0,80%,f,1,3,t,t,59.32713764301466,17.969422169161238,Entire home,Entire home/apt,7,2.0,2 baths,5.0,7.0,4950.0,4,365,4,4,365,365,t,19,49,79,354,2024-12-30,3,2,0,2023-07-05,2024-08-11,5.0,5.0,5.0,5.0,5.0,4.67,4.67,,f,1,1,0,0
2932,2932,2024-12-30,2023-03-18,,,100%,f,1,1,t,t,59.26883549363212,18.03081761534424,Entire home,Entire home/apt,8,,2 baths,5.0,,,2,28,2,2,28,28,t,0,0,0,0,2024-12-30,10,3,0,2023-07-14,2024-08-01,5.0,5.0,4.9,5.0,5.0,4.8,4.9,,f,1,1,0,0
2933,2933,2024-12-30,2014-01-08,,,91%,t,1,2,t,t,59.31339359999999,18.0919636,Entire condo,Entire home/apt,5,1.0,1 bath,3.0,2.0,7329.0,3,10,3,3,10,10,t,23,53,83,238,2024-12-30,15,10,0,2023-07-25,2024-10-07,5.0,5.0,4.93,5.0,5.0,4.93,5.0,,f,1,1,0,0
2934,2934,2024-12-30,2015-08-27,,,0%,f,1,1,t,t,59.27251303797649,18.071310503037964,Entire rental unit,Entire home/apt,5,1.5,1.5 baths,2.0,3.0,1100.0,3,365,3,3,365,365,t,27,57,87,87,2024-12-30,1,0,0,2023-07-14,2023-07-14,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
2937,2937,2024-12-30,2023-05-17,,,,f,1,1,t,f,59.28448710000001,18.0319266,Entire home,Entire home/apt,6,,1.5 baths,4.0,,,3,21,3,3,21,21,t,0,0,0,0,2024-12-30,1,0,0,2023-07-29,2023-07-29,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
2941,2941,2024-12-30,2021-04-26,,,,f,1,1,f,f,59.33187,18.04498,Entire rental unit,Entire home/apt,6,,1 bath,2.0,,,1,7,1,1,7,7,t,0,0,0,0,2024-12-30,1,0,0,2023-07-30,2023-07-30,5.0,4.0,5.0,5.0,5.0,5.0,4.0,,f,1,1,0,0
2942,2942,2024-12-30,2019-07-16,,,100%,f,1,1,t,f,59.2626,17.98371,Entire home,Entire home/apt,6,,2 baths,3.0,,,5,30,5,5,30,30,t,0,0,0,0,2024-12-30,5,3,0,2023-07-22,2024-08-10,4.8,5.0,5.0,5.0,4.8,4.8,4.8,,f,1,1,0,0
2943,2943,2024-12-30,2016-08-14,within an hour,100.0,50%,f,2,2,t,t,59.26833232559122,18.140611310711108,Entire townhouse,Entire home/apt,5,1.5,1.5 baths,1.0,3.0,1200.0,2,365,2,2,365,365,t,10,40,70,70,2024-12-30,11,4,0,2023-06-28,2024-08-08,4.91,4.82,4.82,4.91,4.91,5.0,4.82,,f,2,1,1,0
